# 
# Plain text to be used to modify SSB inputs to build SiteReadiness tables
# Useful to correct bugs and/or modify daily metric values for a given site or all sites
#
# Usage: For a given site, entries are filled as -> Site,Date,Metric,Color,Value
#        A modification for all sites should be entered as -> 'ALL SITES',Date,Metric,Color,Value
#
# Examples:
#
# T2_ES_CIEMAT,2009-02-10,Downtimes,pink,test
# ALL SITES,2009-02-12,Downtimes,white,test
#

T2_FI_HIP,2009-10-16,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-17,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-18,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-19,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-20,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-21,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-22,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-23,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-24,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-25,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-26,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-27,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-28,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-29,SAMAvailability,white,n/a
T2_FI_HIP,2009-10-30,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-01,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-02,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-03,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-04,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-05,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-06,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-07,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-08,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-09,SAMAvailability,white,n/a
T2_FI_HIP,2009-11-10,SAMAvailability,white,n/a
T1_FR_CCIN2P3,2009-10-05,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-06,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-07,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-08,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-09,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-10,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-11,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-12,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-13,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-14,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-15,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-16,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-17,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-18,JobRobot,white,n/a
T1_FR_CCIN2P3,2009-10-19,JobRobot,white,n/a
T1_CH_CERN,2009-10-21,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-22,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-23,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-24,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-25,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-26,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-27,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-28,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-29,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-30,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-31,T1linkstoT2s,green,48
T1_CH_CERN,2009-11-01,T1linkstoT2s,green,48
T1_CH_CERN,2009-11-02,T1linkstoT2s,green,48
T1_CH_CERN,2009-11-03,T1linkstoT2s,green,48
T1_CH_CERN,2009-11-04,T1linkstoT2s,green,48
T1_CH_CERN,2009-10-21,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-22,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-23,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-24,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-25,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-26,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-27,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-28,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-29,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-30,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-10-31,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-11-01,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-11-02,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-11-03,T1linksfromtoT1s,green,8(d)-8(u)
T1_CH_CERN,2009-11-04,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-21,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-22,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-23,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-24,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-25,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-26,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-27,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-28,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-29,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-30,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-31,T1linkstoT2s,green,48
T1_DE_FZK,2009-11-01,T1linkstoT2s,green,48
T1_DE_FZK,2009-11-02,T1linkstoT2s,green,48
T1_DE_FZK,2009-11-03,T1linkstoT2s,green,48
T1_DE_FZK,2009-11-04,T1linkstoT2s,green,48
T1_DE_FZK,2009-10-21,T1linksfromT0,green,1
T1_DE_FZK,2009-10-22,T1linksfromT0,green,1
T1_DE_FZK,2009-10-23,T1linksfromT0,green,1
T1_DE_FZK,2009-10-24,T1linksfromT0,green,1
T1_DE_FZK,2009-10-25,T1linksfromT0,green,1
T1_DE_FZK,2009-10-26,T1linksfromT0,green,1
T1_DE_FZK,2009-10-27,T1linksfromT0,green,1
T1_DE_FZK,2009-10-28,T1linksfromT0,green,1
T1_DE_FZK,2009-10-29,T1linksfromT0,green,1
T1_DE_FZK,2009-10-30,T1linksfromT0,green,1
T1_DE_FZK,2009-10-31,T1linksfromT0,green,1
T1_DE_FZK,2009-11-01,T1linksfromT0,green,1
T1_DE_FZK,2009-11-02,T1linksfromT0,green,1
T1_DE_FZK,2009-11-03,T1linksfromT0,green,1
T1_DE_FZK,2009-11-04,T1linksfromT0,green,1
T1_DE_FZK,2009-10-21,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-22,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-23,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-24,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-25,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-26,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-27,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-28,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-29,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-30,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-10-31,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-11-01,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-11-02,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-11-03,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_FZK,2009-11-04,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-21,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-22,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-23,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-24,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-25,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-26,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-27,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-28,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-29,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-30,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-31,T1linkstoT2s,green,48
T1_DE_KIT,2009-11-01,T1linkstoT2s,green,48
T1_DE_KIT,2009-11-02,T1linkstoT2s,green,48
T1_DE_KIT,2009-11-03,T1linkstoT2s,green,48
T1_DE_KIT,2009-11-04,T1linkstoT2s,green,48
T1_DE_KIT,2009-10-21,T1linksfromT0,green,1
T1_DE_KIT,2009-10-22,T1linksfromT0,green,1
T1_DE_KIT,2009-10-23,T1linksfromT0,green,1
T1_DE_KIT,2009-10-24,T1linksfromT0,green,1
T1_DE_KIT,2009-10-25,T1linksfromT0,green,1
T1_DE_KIT,2009-10-26,T1linksfromT0,green,1
T1_DE_KIT,2009-10-27,T1linksfromT0,green,1
T1_DE_KIT,2009-10-28,T1linksfromT0,green,1
T1_DE_KIT,2009-10-29,T1linksfromT0,green,1
T1_DE_KIT,2009-10-30,T1linksfromT0,green,1
T1_DE_KIT,2009-10-31,T1linksfromT0,green,1
T1_DE_KIT,2009-11-01,T1linksfromT0,green,1
T1_DE_KIT,2009-11-02,T1linksfromT0,green,1
T1_DE_KIT,2009-11-03,T1linksfromT0,green,1
T1_DE_KIT,2009-11-04,T1linksfromT0,green,1
T1_DE_KIT,2009-10-21,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-22,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-23,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-24,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-25,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-26,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-27,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-28,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-29,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-30,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-10-31,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-11-01,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-11-02,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-11-03,T1linksfromtoT1s,green,8(d)-8(u)
T1_DE_KIT,2009-11-04,T1linksfromtoT1s,green,8(d)-8(u)
T1_ES_PIC,2009-10-21,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-22,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-23,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-24,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-25,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-26,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-27,T1linkstoT2s,green,48
T1_ES_PIC,2009-10-28,T1linkstoT2s,green,48
