Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
USA,"LLNL ALICE, Livermore CA",CPU (HEP-SPEC06),11500,6%,,,,,,,11500,6%
USA,"LLNL ALICE, Livermore CA",Disk (Tbytes),650,5%,,,,,,,650,5%
USA,MIT CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,MIT CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,Midwest ATLAS T2,CPU (HEP-SPEC06),,,25000,6%,,,,,25000,6%
USA,Midwest ATLAS T2,Disk (Tbytes),,,3300,7%,,,,,3300,7%
USA,Nebraska CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,Nebraska CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,Northeast ATLAS T2,CPU (HEP-SPEC06),,,17000,4%,,,,,17000,4%
USA,Northeast ATLAS T2,Disk (Tbytes),,,2200,4%,,,,,2200,4%
USA,Purdue CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,Purdue CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,SLAC ATLAS T2,CPU (HEP-SPEC06),,,17000,4%,,,,,17000,4%
USA,SLAC ATLAS T2,Disk (Tbytes),,,2200,4%,,,,,2200,4%
USA,Southwest ATLAS T2,CPU (HEP-SPEC06),,,17000,4%,,,,,17000,4%
USA,Southwest ATLAS T2,Disk (Tbytes),,,2200,4%,,,,,2200,4%
USA,U. Wisconsin CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,U. Wisconsin CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
USA,UC San Diego CMS T2,CPU (HEP-SPEC06),,,,,14000,4%,,,14000,4%
USA,UC San Diego CMS T2,Disk (Tbytes),,,,,1000,4%,,,1000,4%
Ukraine,Ukrainian Tier-2 Federation,CPU (HEP-SPEC06),2000,1%,,,7500,2%,,,9500,2%
Ukraine,Ukrainian Tier-2 Federation,Disk (Tbytes),150,1%,,,550,2%,,,700,2%
